review_id,user_id,product_id,review_text,label,rating,timestamp
1,u1,p1,"This product is absolutely amazing! Best purchase ever! Highly recommend to everyone! Five stars!",fake,5,2024-01-01 10:00:00
2,u2,p1,"The product works as described. Battery life is decent, build quality is average. Would recommend for the price.",real,4,2024-01-02 14:30:00
3,u3,p2,"Worst product I have ever bought. Broke after two days. Complete waste of money. Do not buy!",fake,1,2024-01-03 09:15:00
4,u4,p2,"I have been using this for three weeks now. The quality is good but the strap is a bit uncomfortable. Overall satisfied.",real,4,2024-01-04 11:45:00
5,u5,p3,"AMAZING AMAZING AMAZING! LOVE IT! BUY NOW! DO NOT HESITATE! PERFECT PERFECT PERFECT!",fake,5,2024-01-05 08:00:00
6,u6,p3,"Solid product. The camera quality is great in daylight but struggles in low light. Decent for the price range.",real,3,2024-01-06 16:20:00
7,u1,p3,"Best ever!! Must buy!! You will love it trust me!! Amazing quality!! Highly recommend!!",fake,5,2024-01-07 08:05:00
8,u7,p4,"The laptop overheats after extended use. The keyboard is comfortable though. Customer support was helpful.",real,3,2024-01-08 13:00:00
9,u1,p4,"Perfect product! Perfect! Amazing! Love it! Buy it now! Best thing I ever bought!",fake,5,2024-01-09 08:10:00
10,u8,p5,"Shoes are true to size. Comfortable for daily walks but not suitable for running. Good stitching quality.",real,4,2024-01-10 10:30:00
11,u9,p5,"BEST SHOES EVER!! AMAZING QUALITY!! EVERYONE SHOULD BUY THESE!! PERFECT FIT!!",fake,5,2024-01-11 08:00:00
12,u10,p6,"The blender is powerful and easy to clean. A bit noisy at high speeds. Good value for money.",real,4,2024-01-12 15:00:00
13,u11,p6,"Absolute garbage. Stopped working after one week. Terrible quality. Worst purchase ever.",fake,1,2024-01-13 08:20:00
14,u12,p7,"The book is well written and informative. Some chapters felt repetitive but overall a good read.",real,4,2024-01-14 19:00:00
15,u13,p7,"Changed my life! Best book ever written! Must read for everyone! Amazing insights! Buy immediately!",fake,5,2024-01-15 08:00:00
16,u2,p8,"Phone case fits perfectly. Good grip material. The cutouts for ports are precise. Satisfied with purchase.",real,5,2024-01-16 12:00:00
17,u14,p8,"Terrible case! Broke in one day! Total scam! Do not buy! Worst quality ever seen!",fake,1,2024-01-17 08:30:00
18,u15,p9,"The headphones have good bass but the mids feel a bit muddy. Comfortable for long listening sessions.",real,4,2024-01-18 17:00:00
19,u16,p9,"INCREDIBLE SOUND QUALITY!!! BEST HEADPHONES IN THE WORLD!!! MUST BUY!!! AMAZING!!!",fake,5,2024-01-19 08:00:00
20,u17,p10,"The coffee maker takes about 8 minutes to brew. Coffee taste is decent. Easy to program.",real,3,2024-01-20 07:00:00
21,u1,p10,"Best coffee ever! Perfect machine! Amazing taste! Buy now! You will love it! Highly recommend!",fake,5,2024-01-21 08:15:00
22,u18,p11,"Tablet is fast and responsive. The screen resolution is sharp. Battery drains quickly with high brightness.",real,4,2024-01-22 14:00:00
23,u19,p11,"Perfect tablet! Perfect! Everyone needs this! Buy immediately! Amazing quality! Best ever!",fake,5,2024-01-23 08:00:00
24,u20,p12,"The vacuum cleaner has strong suction. The filter needs cleaning every two uses. Decent for pet hair.",real,4,2024-01-24 11:00:00
25,u21,p12,"AMAZING VACUUM! BEST EVER! PICKS UP EVERYTHING! BUY NOW! DO NOT WAIT! PERFECT!",fake,5,2024-01-25 08:00:00
26,u22,p13,"Sunglasses look stylish but the UV protection is not mentioned. Frame feels a bit flimsy.",real,3,2024-01-26 13:00:00
27,u23,p13,"Best sunglasses in the world! Amazing quality! Perfect fit! Everyone should own these! Buy now!",fake,5,2024-01-27 08:20:00
28,u24,p14,"The watch strap is genuine leather and comfortable. The display is easy to read in sunlight.",real,4,2024-01-28 10:00:00
29,u25,p14,"WORST WATCH EVER!! STOPPED AFTER ONE HOUR!! TOTAL SCAM!! DO NOT BUY!! TERRIBLE!!",fake,1,2024-01-29 08:00:00
30,u26,p15,"The protein powder mixes well without clumps. Chocolate flavor is decent. Causes slight bloating.",real,3,2024-01-30 06:00:00
31,u27,p15,"Amazing results! Lost 20 pounds in one week! Best supplement ever! Buy now! Life changing!",fake,5,2024-01-31 08:00:00
32,u28,p16,"The backpack has enough compartments. The zippers are smooth. Good for a day trip but not for hiking.",real,3,2024-02-01 09:00:00
33,u1,p16,"Perfect backpack! Perfect! Must buy! Amazing quality! Zero issues! Highly recommend to everyone!",fake,5,2024-02-02 08:05:00
34,u29,p17,"Smart speaker works well with Google Home. Sound quality is good at medium volume. Alexa integration is smooth.",real,4,2024-02-03 16:00:00
35,u30,p17,"INCREDIBLE!!! BEST SPEAKER!!! AMAZING!!! BUY NOW!!! DO NOT HESITATE!!! PERFECT!!!",fake,5,2024-02-04 08:00:00
36,u31,p18,"The gaming mouse has precise tracking. The side buttons are a bit small for my hand size. Good value.",real,4,2024-02-05 15:00:00
37,u32,p18,"BEST MOUSE EVER!! AMAZING!! PERFECT FOR GAMING!! BUY IMMEDIATELY!! LOVE IT!!",fake,5,2024-02-06 08:10:00
38,u33,p19,"The yoga mat is thick enough for joint support. It rolls up nicely. Gets slippery when wet.",real,4,2024-02-07 07:30:00
39,u34,p19,"Perfect yoga mat! Perfect! Must buy! Amazing grip! Changed my yoga practice forever! Highly recommend!",fake,5,2024-02-08 08:00:00
40,u35,p20,"Nice desk lamp with adjustable brightness. USB charging port is a handy feature. Arm is a bit wobbly.",real,4,2024-02-09 20:00:00
41,u1,p20,"Best lamp ever! Perfect light! Amazing quality! Must buy! Highly recommend to everyone!",fake,5,2024-02-10 08:20:00
42,u36,p1,"Follow up review: product stopped working after three months. Contacted support and no response. Disappointed.",real,2,2024-02-11 18:00:00
43,u37,p2,"Good product overall. The packaging was a bit damaged but the item itself is intact and works fine.",real,4,2024-02-12 12:00:00
44,u38,p3,"I returned this product. The description was misleading. Quality is much lower than shown in photos.",real,2,2024-02-13 14:00:00
45,u39,p4,"Great laptop for everyday tasks. Gaming performance is limited but for office work it is perfect.",real,4,2024-02-14 10:00:00
46,u40,p5,"The shipping took two weeks but the product quality justifies the wait. Will order again.",real,4,2024-02-15 11:00:00
47,u41,p6,"Blender died after making three smoothies. Returned it. The motor is not strong enough for frozen fruit.",real,1,2024-02-16 09:00:00
48,u42,p7,"The book starts strong but the second half drags. Good for beginners in the field.",real,3,2024-02-17 19:00:00
49,u43,p8,"Case yellowed after three weeks. Not durable for the price. Would not buy again.",real,2,2024-02-18 13:00:00
50,u44,p9,"Headphones are comfortable but the cable is too short. Sound is balanced and clear. Good buy.",real,4,2024-02-19 18:00:00
51,u1,p1,"Amazing product!! Love it!! Perfect!! Must buy!! Five stars all the way!! Incredible!!",fake,5,2024-02-20 08:01:00
52,u1,p2,"Amazing quality!! So good!! Perfect!! Must buy!! Five stars!! Incredible value!!",fake,5,2024-02-20 08:02:00
53,u1,p3,"Perfect product!! Perfect quality!! Must have!! Buy now!! Highly recommend!! Amazing!!",fake,5,2024-02-20 08:03:00
54,u1,p4,"Best ever!! Amazing!! Must buy!! Perfect quality!! Do not hesitate!! Buy now!!",fake,5,2024-02-20 08:04:00
55,u1,p5,"Incredible!! Love everything about it!! Perfect!! Must buy!! Highly recommend!!",fake,5,2024-02-20 08:06:00
56,u45,p10,"Coffee maker works fine. A bit slow to heat up in the morning. Easy to descale.",real,3,2024-02-21 07:30:00
57,u46,p11,"The tablet UI is intuitive. App ecosystem is large. Battery could be better.",real,3,2024-02-22 14:00:00
58,u47,p12,"Vacuum is good but the hose is a bit short. Makes cleaning stairs difficult.",real,3,2024-02-23 11:00:00
59,u48,p13,"These glasses scratched easily. Not worth the price. Would not recommend.",real,2,2024-02-24 13:00:00
60,u49,p14,"Watch is stylish and accurate. The only issue is the charging cable is proprietary.",real,4,2024-02-25 10:00:00
61,u50,p15,"Protein powder tastes artificial. The texture is gritty. Does not dissolve well in water.",real,2,2024-02-26 06:30:00
62,u51,p16,"Backpack seams frayed after a month of use. Disappointing quality for the price.",real,2,2024-02-27 09:00:00
63,u52,p17,"Speaker sounds great for its size. The app connectivity drops occasionally.",real,4,2024-02-28 16:30:00
64,u53,p18,"Mouse scroll wheel feels cheap. DPI settings are easy to change. Okay for casual gaming.",real,3,2024-03-01 15:00:00
65,u54,p19,"Yoga mat is dense and durable. The texture grips well on hardwood floors.",real,5,2024-03-02 07:00:00
66,u55,p20,"Lamp flickers at low brightness. At full brightness it is excellent. Mixed feelings.",real,3,2024-03-03 20:00:00
67,u56,p1,"I use this daily and it holds up well. Great value for money. No complaints so far.",real,5,2024-03-04 09:00:00
68,u57,p2,"Product looks exactly like the photo. Setup was straightforward. Happy with the purchase.",real,5,2024-03-05 14:00:00
69,u58,p3,"Not bad but not great either. Average quality camera for the price. Gets the job done.",real,3,2024-03-06 16:00:00
70,u59,p4,"Keyboard backlighting is nice. Trackpad is accurate. Fan noise is acceptable.",real,4,2024-03-07 11:00:00
71,u60,p5,"Shoes look exactly like the pictures. Delivery was fast. Sole is a bit thin.",real,4,2024-03-08 10:00:00
72,u61,p6,"Blender is loud but effective. The pitcher is easy to clean. Happy with purchase.",real,4,2024-03-09 15:30:00
73,u62,p7,"This book helped me understand the topic much better. Some examples feel outdated though.",real,4,2024-03-10 19:30:00
74,u63,p8,"Phone case provides good protection. Dropped my phone twice and no damage.",real,5,2024-03-11 12:30:00
75,u64,p9,"Headphones fold compactly. Sound cancellation is decent. Worth the price.",real,4,2024-03-12 17:00:00
76,u65,p10,"Brews consistent coffee. The carafe keeps coffee warm for about two hours.",real,4,2024-03-13 07:00:00
77,u66,p11,"Kids love the tablet. Parental controls are easy to set up. Battery lasts all day.",real,5,2024-03-14 14:30:00
78,u67,p12,"Vacuum filters are easy to replace. Suction power decreased after six months.",real,3,2024-03-15 11:30:00
79,u68,p13,"Sunglasses are comfortable. Lenses are clear. Good for sunny days.",real,4,2024-03-16 13:30:00
80,u69,p14,"Watch face is elegant. App syncing is smooth. Great gift idea.",real,5,2024-03-17 10:30:00
81,u70,p15,"Protein shake mixes well. Good flavor. Felt more energized after a week.",real,4,2024-03-18 06:30:00
82,u71,p16,"Strong backpack. Carried hiking gear for a full day without issues.",real,5,2024-03-19 09:30:00
83,u72,p17,"Smart speaker is great for music. Voice recognition is accurate most of the time.",real,4,2024-03-20 16:45:00
